TURN	UTTERANCE	DA	EMOTION
Ses01M_script03_2_F005	i did not you worked whole thing up in your jealous imagination.	dag	xxx
Ses05F_script02_1_M002	is that--no, no no is that foam?  i can't even tell, although if i if i can't tell, it probably isn't it?  right it'll probably be unmistakable, but don't you think?  how you doing?	q	exc
Ses05M_impro04_F023	okay so.	s	neu
Ses01F_script01_1_M015	i'm going to ask her to marry me.	ans	neu
Ses03F_script01_3_M010	oh, annie.	a	hap
Ses05M_script01_3_M030	i mean that exactly, anymore selfish - just a little bit more selfish and they would have been here today. and it gave me an idea as i was watching them all go down.	o	sad
Ses04F_script02_1_F014	what are you so excited about?  this isn't a moon landing we're talking about.  it's fish.  it's fish nobody even eats.	o	ang
Ses01M_script02_2_M026	do you want to dance?	q	xxx
Ses04F_script02_2_M022	okay.  right.  i got it.  sure.  of course.  listen you want to dance?	q	xxx
Ses02M_script03_1_M001	i wonder.	ans	xxx
Ses02M_script03_1_M019	no, no it isn't, death is very laughable, such a cunning little mystery, all done with mirrors.	ans	exc
Ses05F_impro06_F000	a good friend of mine passed away the other day.	ans	sad
Ses01F_script01_1_M022	to hell with that.	o	fru
Ses01M_impro05_F006	i speak your language.	s	neu
Ses04M_script01_1_F008	what?	q	sur
Ses03F_script03_1_M006	hello? hello? what? ugh, wrong number.	s	xxx
Ses04M_impro07_M025	ouch.  that's, um - oh, wow.	o	neu
Ses01M_impro02_F016	we could hide away.	o	xxx
Ses05M_impro07_M006	oh-	b	exc
Ses04M_impro05_M025	look, can i just - can i speak to your manager, please?  'cause i i really - i don't, um - i mean, i just don't want to deal with - i know that - i mean, i know this isn't your fault	q	fru
Ses01M_script01_3_M019	i kissed you.	s	hap
Ses05M_impro08_M001	this happens every two weeks?	q	neu
Ses02M_script02_2_F034	i know that you meant this to be special and nice, and there's the sand and the moon and everything but i just couldn't help thinking about being somewhere else.	o	sad
Ses03M_impro06_M032	he is the greatest...everyone liked him.	o	sad
Ses05F_impro03_M050	oh yeah, of course.	ag	exc
Ses03F_impro08_F007	well, i know sir, and we all are busy.	ag	neu
Ses03M_script02_1_M017	do you want my jacket?	q	neu
Ses05M_script02_1_F004	yes.	ans	xxx
Ses01M_script01_2_F002	he's not going to marry her.	c	xxx
Ses04M_script03_2_F051	never, never, never.  i'd rather die in torment. beast brute.	o	ang
Ses01M_script02_1_M043	like some little time release fire cracker went off inside their little tiny bodies.  and they all turned as one...	s	exc
Ses02M_script01_1_F008	what?	q	xxx
Ses03F_impro02_F028	what do you mean?	q	sad
Ses01M_impro03_F012	like make her rent the apartment that you two have to live together in, you know. and you won't pay any rent or you pay like, a hundred bucks a month or something.	o	exc
Ses02M_script02_2_M036	i'm doing the best i can.	ans	xxx
Ses05M_impro07_M046	we'll have fun.	o	hap
Ses03F_script02_2_M041	it's not champagne.	s	hap
Ses01F_script02_2_F039	for heaven's sake augie.	s	xxx
Ses01F_impro07_F013	i would be like oh. right, right, right.	s	exc
Ses01M_script03_2_M024	nonsense.  they have a bag of venom behind of fangs and they snap.	dag	ang
Ses05F_script03_1_M003	we're all right, darling, aren't we whatever happens?	s	xxx
Ses01M_script01_3_M033	you know, that they were bringing something on to this earth, a kind of sacrifice you know.	o	sad
Ses04F_script01_3_M010	i have no imagination that's all i know to tell you.	s	hap
Ses03F_script01_1_M044	the business. the business doesn't inspire me.	ans	fru
Ses03F_script01_2_F001	she's been in new york for three-and-a-half years. she don't just suddenly come and-	ans	ang
Ses03F_script02_1_F017	yes, and if you also remember, i got sand in my panties. we got into an argument about nothing. you got a sore throat and we never saw the grunions.	s	fru
Ses05M_impro07_M007	it's exactly what i wanted.	s	exc
Ses05M_impro05_M014	- four hundred miles?	q	xxx
Ses04M_impro07_M008	yeah.	b	hap
Ses02M_impro07_F024	i will do the best i can.	o	hap
Ses04M_script03_2_M043	there are people downstairs, i suppose	q	ang
Ses04M_script02_1_F014	what are you so excited about?	q	neu
Ses03F_impro06_F028	they talked about getting married and--	s	sad
Ses04M_script03_1_F005	oh, it sent shivers up my spine.	s	exc
Ses03F_script01_3_M042	and i didn't want to take any of it.	o	sad
Ses04M_impro05_F026	all all that my supervisor could do is the exact same thing that i'm offering to do.	s	fru
Ses04M_script03_1_F026	it burnt my comb, too, and all the towels in the bathroom.	s	exc
Ses01F_script03_2_F031	there are no people upstairs; it's a photographer's studio.	s	neu
Ses02M_impro06_M007	out to out to dinner you know and do the troops to california, i mean.	s	sad
Ses04M_impro05_M035	if we have three forms then i can get the hundred and fifty.	s	fru
Ses03M_impro06_F013	just things happen in life and you just...there's just no explanation you know?  we just don't...	o	sad
Ses05F_impro02_M032	i don't know.	ans	sad
Ses01M_impro06_F006	he sick for awhile?	q	sad
Ses01F_script02_1_M002	okay.  is that, is that--	ag	exc
Ses03F_impro07_F018	yeah.	ag	xxx
Ses01F_impro04_F012	no.	ans	xxx
Ses04M_impro01_M011	what if i pay you money?	q	fru
Ses02F_impro08_M004	well, yeah, i mean i heard there was like these package deals and that maybe i could get a like a hotel or something like that. and-	s	fru
Ses01F_impro04_F029	who do you think you are?	q	ang
Ses01M_script03_2_F015	don't be stupid, what?	q	ang
Ses03M_script01_2_F018	look, just keep believing okay?	c	xxx
Ses01M_script01_1_M027	because it is.	ans	fru
Ses01F_script01_2_F010	i want you to- i want you to act like he is coming back, both of you.  don't think i haven't noticed you since chris invited her here.	ans	ang
Ses04F_script01_1_F036	you've got a business here.  what the hell is this?	q	ang
Ses04F_script03_2_M007	what about me?	q	ang
Ses01F_script03_2_M027	that's very interesting amanda. how about a child of four?  or a child of six?  or a child of nine? we can get a good little conversation going on about this, you know, intemperate tots.	o	ang
Ses05F_script03_1_M015	who knows?	ans	exc
Ses03M_script03_1_F021	thank you dear.  the same applies to you...	o	xxx
Ses05F_impro03_M043	oh, thanks. move here before you get married [laughter]	s	exc
Ses05M_impro03_F019	oh i'm so excited for you.	o	exc
Ses05F_impro04_M026	but you have to keep trying.  you can't give up.	o	neu
Ses02M_script03_2_F024	yes, i did quite a lot.	ans	neu
Ses03F_script01_3_M018	you felt something that far back?	q	hap
Ses02F_impro03_M023	i mean, i'm surprised he didn't, ya know--go get a plane to fly over and shine--but candles on the beach, that's okay too i guess--	o	hap
Ses04M_script02_2_M007	there's nothing to it.  we come down here.  the grunions arrive.  they do their little fish business.  we go ooh, ah, look at the fish.  they go home.  we go home.	s	ang
Ses03M_script02_2_M007	why not?	q	fru
Ses05M_script02_1_F002	you mean our flashlight?	q	xxx
Ses02M_script02_1_M030	for real?	q	sur
Ses05F_impro06_F004	[breathing]	oth	sad
Ses01M_script01_2_M006	listen. line. you can't read her mind.	s	fru
Ses01M_script03_1_M005	yes... hello?  hello?  i'm sorry what's that?	s	xxx
Ses04M_impro07_M043	well i need to defend myself from	o	neu
Ses03F_impro03_F020	no. no plans. or any and probably	ans	hap
Ses03F_script02_2_M030	you know what you get? the jokes on us, baby. because do you know what you get? huh? carla? do you know what you get? you get this.	s	fru
Ses05F_script01_1_F004	did you talk to him?	q	sad
Ses04F_impro07_F056	work at a doughnut shop.	s	xxx
Ses03M_impro03_M014	she wanted...she always wants something spontaneous.	s	hap
Ses04M_script01_3_M027	it takes a little time to toss that off because they weren't just men.	o	sad
Ses05M_script02_1_M014	oh, no, no, no.  no that's not my point.  my point is what's the point coming out here if we're just going to leave?  don't you want to see it?	dag	xxx
Ses04M_impro03_F009	oh, my god, where - have you guys talked about where you're going to get married or--	q	exc
Ses05F_impro03_F022	yeah, i like the autumn.	o	xxx
Ses05M_script01_1b_M015	i'm gonna ask her to marry me.	ans	xxx
Ses04F_impro08_F004	sir, can can you tell me which branch you went to.  we can start there.	q	neu
Ses05F_impro05_M006	but uh i don't see it here in the airport yet. uh	s	neu
Ses01M_impro03_M015	it's a good idea.	a	exc
Ses03F_script03_2_M034	well, i suppose the people downstairs then.	q	ang
Ses03M_impro02_M001	hey.	g	sad
Ses01F_script01_3_M027	pretty much all.	ans	sad
Ses03M_impro02_M021	i put in fifteen years in this job.	s	fru
Ses03F_script02_1_F008	that's my point.	s	xxx
Ses04F_impro07_M063	dorky?	q	neu
Ses01F_impro06_F014	at the cemetery?	q	sad
Ses01F_script03_2_M005	well, you let him kiss you, huh?  you said you did.	s	fru
Ses02F_impro05_F001	no, it didn't. um it didn't come out and i don't see it anywhere around here, so what can you do about that?	q	neu
Ses05F_script03_2_F017	oh, do shut up.	c	xxx
Ses05M_script02_2_F023	i just want i just want things to turn out the way they are supposed to.	ans	sad
Ses03M_script03_2_M012	oh my...just because i just...okay...	b	ang
Ses05F_impro03_F021	so next fall i guess.	o	xxx
Ses02M_script01_1_F011	you can't say that to him.	ans	fru
Ses01M_impro05_M024	fifty dollars is not going to cover me for my job, okay?	s	ang
Ses01F_impro01_M006	no. i need another set of id to prove this is actually you.	s	fru
Ses05F_impro01_F017	isn't there anything you can do?  just call over and ask them if i can go to the front of the line in the other line.	q	ang
Ses02M_script02_1_F015	augie	b	fru
Ses02F_script02_2_F001	it's ridiculous.	o	fru
Ses03M_script03_2_M028	mmm, you must've had a riotous time.  no restraint at all, very enjoyable.  you never had much anyhow.	o	xxx
Ses05M_impro07_M016	we are gonna have a great time.	o	exc
Ses02F_script03_2_M012	you can hardly call three liquor glasses in a whole evening going on and on and on.	o	fru
Ses04M_script02_2_M002	certainly is not.  it's slightly exaggerated scientific fact.	dag	fru
Ses01F_script01_3_F029	how many?	q	neu
Ses04F_script02_1_M032	i've got good instincts for these things.  look there. what's that.  is that?  is that, is that-no it's just seaweed isn't it.	q	exc
Ses03M_script02_1_M001	look at the night we got.  i wouldn't trade this for anything.	o	exc
Ses01F_script02_2_M008	there is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing.  we go ooh, ah, look at the fish and we go home.	s	fru
Ses04F_script02_1_M035	no one sent them a map or an invitation.  just some little instinctual time release firecracker went off in their little bodies and all as one. they turned and formed a line as long as the california coast and started swimming.	s	exc
Ses03F_script02_2_F031	no.	ans	ang
Ses04F_impro01_F017	that's like the whole purpose of you being here.	o	xxx
Ses05F_impro05_M046	right, well, when you're at home and you lose something, do you guarantee that you're going to find it later on?	q	fru
Ses04F_impro08_F010	i understand, sir.  i will explain to them what the situa-	s	fru
Ses04F_script03_2_F006	it gave him a lot of pleasure and it didn't hurt me.	s	xxx
Ses04F_script02_2_M028	a vacation?	q	fru
Ses01F_impro05_M010	i don't see any record of it, and i-usually when i don't see a record of it, that means um-	s	neu
Ses01F_impro01_M004	this form is a z.x.four.	s	fru
Ses02M_impro03_M018	no, but it was good.	o	exc
Ses02F_impro08_M007	all right.  i want to make sure it's like a nice hotel--i mean-mean i'm gonna be paying a lot of money for this so i don't wanna-i don't wanna, you know, i don't wanna to be a waste of time.	s	neu
Ses03F_impro01_F002	what's wrong?	q	neu
Ses05M_script03_2_M027	i am not the slightest bit drunk.	dag	ang
Ses02M_script03_1_F002	what are we going to do?	q	exc
Ses01F_script01_3_M036	and i didn't want any of it. i guess that included you.	o	sad
Ses04M_script03_1_M029	how - that was a rouser wasn't it?	q	exc
Ses03M_script01_1_F006	god, what was he doing out there anyway?	q	xxx
Ses03F_script02_1_M033	we weren't in a good spot.	o	xxx
Ses03M_impro08b_F009	yes the phone turns on.  no i mean i'm using it not turning on the phone.  of course it turns on.	ans	fru
Ses02F_script02_1_M005	well, i guess we can tell, it probably isn't right?  probably be unmistakable don't you think?	q	exc
Ses05F_script02_2_F022	no.	ans	xxx
Ses04M_impro03_F016	big and shiny.  you're such a guy. [laughter]	o	exc
Ses01F_script01_1_F003	when?	q	xxx
Ses01F_script01_1_F044	i can see that.	ag	fru
Ses04M_impro02_F013	well unagree.  tell them that you can't leave right now.  i can't do this by myself.  i can't do this without you.	c	fru
Ses03M_script01_2_M016	look at you, you're shaking.	s	ang
Ses01M_script01_1_F020	well, what do you want me to do?  you're old enough known your own business.	o	ang
Ses05F_impro04_F009	i mean i can do the mcdonald's thing for a while as humiliating as that is, but i mean then what?  i mean you can't exactly move up in that kind of industry.	o	fru
Ses02M_impro05_F014	so we'll what we'll do	s	neu
Ses01F_impro06_M009	mmhmm.	b	neu
Ses02M_script03_2_M003	you went out of your way to torture me over peter burden.	s	ang
Ses05F_script02_2_M016	wait a minute, i got it.	c	neu
Ses05F_script03_2_M019	it's a pity you didn't take a little more brandy.  it might have made you a little less disagreeable.	o	ang
Ses01M_script02_2_M009	okay, well then what's bugging you?	q	xxx
Ses03M_impro05b_F000	can i help you sir?	q	neu
Ses04F_script02_2_M000	well, so what do you think?	q	neu
Ses04M_script01_1_M029	because it is.	s	fru
Ses05M_script01_1_M016	you know.	ans	neu
Ses05F_script03_1_F002	what will be do?	q	xxx
Ses04F_script03_1_F021	thank you, dear.  the same applies to you except that if i catch you so much as looking at another woman, i'll kill you.	o	exc
Ses04M_impro07_F018	yeah.	b	exc
Ses03F_impro04_F024	yeah	ag	sad
Ses02M_impro07_M031	i'm-i'm looking forward to that. [breathing] man, so yeah, i think i'm going to come out a little early so i mean i'll give you a call and we'll definitely-	s	exc
Ses03F_impro02_F043	i'm so sorry.	ap	sad
Ses02M_script01_3_M029	they didn't die, they killed themselves for each other.  i mean that exactly.  i mean, a little more selfish and they'd have been here today.	o	sad
Ses04M_impro05_M027	but what i'm talk - but i'm just,just please let me--	s	fru
Ses05F_impro04_F033	yeah, i always think so, but i i just feel like it's a lot of lip service everywhere i go.	ans	fru
Ses05M_script01_2_M002	what are you talking about?  he grew up next to the girl his whole life, why wouldn't he want to see her again?  don't look at me like that.  he hasn't told me anything he didn't told you.	q	fru
Ses05M_impro02_M020	yeah, it's gonna be everything.  i'm gonna be in the front.  i'll be - it's not gonna be safe.	ans	xxx
Ses04F_impro03_M045	yeah, but	ans	xxx
Ses04M_script03_2_F045	stop.	c	ang
Ses02M_script03_2_M002	yes, i remember it well, bristling with diamonds in the worst possible taste.	s	xxx
Ses05F_impro01_F021	do you have a manager i could speak with?	q	fru
Ses05M_script03_1_F021	uhh, thank you, darling.  and the same goes for you, except that if i ever see you so much as look at another woman, i'll kill you.	o	xxx
Ses03M_impro08a_M000	hello.  this is viacom services.  how can i help you?	q	neu
Ses05F_impro05_M032	well, it's like any kind of insurance.  you don't-when you get it, then you get more. you know, like if you--	ans	neu
Ses02M_script02_2_F003	yea, sure everyone was sold the same story. i mean it keeps us all excited, keeps us coming back for more, keeps us thinking that life is going to start any second now if we can just get in on the action and find the right spot.	o	xxx
Ses01M_impro04_F005	did you ever think it might be your attitude that's...	q	neu
Ses01M_impro03_M007	fifty thousand dollars. fifty thousand dollars. i was just out... i just... she's well, she's a friend of friend but like...	ans	exc
Ses04M_impro03_F017	i'm so excited for you. that's great. i'm so-	o	exc
Ses01F_impro06_F011	and i, you know, i mean, i said i was sorry and i brought it back to her kind of and i like put it on the ground and she was like, no, it's fine.  she was like, i would rather have her back, honestly.	s	sad
Ses01F_script03_2_F038	this is the end.  do you hear me?  finally and forever.	o	ang
Ses04M_impro08_M010	all i can do for you right now is give you a hundred dollars.	ans	neu
Ses05F_impro07_M019	yeah, me either.	s	exc
Ses05F_script03_1_F016	how long will it last, this overbearing love of ours?	q	xxx
Ses04M_script03_2_M033	i suppose you let him kiss you a good deal more then, hmm?	o	ang
Ses02M_script01_2_F002	nobody comes seven hundred miles just to see.	o	ang
Ses04M_impro07_F002	i didn't even	s	exc
Ses05M_impro08_F019	uh, yeah looks - no, no.  it's set to zeros.	ans	neu
Ses05F_impro05_M045	how can i guarantee finding your luggage when it's lost?	q	fru
Ses03M_impro05b_M006	you can report lost property?	q	fru
Ses03F_script01_1_M026	every time i reach out for something i have to pull back because other people will suffer. my whole entire life, time and time after time.	o	sad
Ses05M_impro07_F038	totally.	ag	neu
Ses01M_script01_1_F002	how could he see it?  i was the first one up and he was still in bed.	q	sur
Ses03M_script02_1_F006	look, i'm cold.	s	xxx
Ses03M_script01_1_F039	oh, you have to be inspired.	q	xxx
Ses02F_impro02_F003	i don't think so.	dag	sad
Ses04M_impro01_M021	why are you being such a bitch?	q	fru
Ses05F_script01_1_F026	well how did you know that she will go along with it, i mean maybe she feels the same way as your father?	q	neu
Ses02F_impro02_F013	i have no choice. there's nothing i can do.	o	sad
Ses04M_script03_2_M014	so am i; bored stiff.	ag	ang
Ses03M_script01_3_M012	i'm embarrassing you.  i didn't want to tell you this here.  i wanted to drive someplace brand new where we'd be brand new to each other.  it feels wrong here don't you?	s	xxx
Ses03M_impro02_F037	finish your master's that you were started never finished.	o	fru
Ses01F_script02_1_F017	pass what up?  i mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.	s	fru
Ses01M_script01_2_F008	nobody in this house dares take away her faith joe.  her strangers might but not her father, not her brother.	o	fru
Ses04F_script02_1_M024	yeah, they do.	dag	fru
Ses04F_impro03_F025	to help plan because i'm getting married. [laughter]	s	xxx
Ses05F_script03_2_M007	what about me?	q	xxx
Ses02M_impro01_M012	okay. what about no - how about you hold that and i'll i'll go and i can come back-	q	fru
Ses05F_script01_3_M032	but it seemed to me that something new was being created at the same time, a kind of responsibility, man for man.  do you understand me?	o	sad
Ses05F_script02_2_M032	maybe if you are with somebody else too?	o	sad
Ses04M_script02_1_F016	i'm just not.	s	fru
Ses04F_script02_1_M042	what i said.	ans	xxx
Ses05M_impro03_F005	oh-	b	hap
Ses01F_script03_1_M015	all of those futile moralists who make life unbearable.  you have to laugh at them, be flippant.	ans	xxx
Ses04M_impro07_F012	i know.  you're going to be so close.	ag	exc
Ses01F_script02_2_F023	no.	ans	neu
Ses03M_impro08b_M015	it will be free.  no contract okay?	ag	neu
Ses03F_impro08_F017	no no, we're not taking anything from you sir.  this is this is unbeknownst to us.  the problem had just happened.	dag	fru
Ses01F_script01_1_M041	i know that.  then just help me stay here.	c	fru
Ses04F_impro04_F024	buck-o. that's really helpful.  just keep chugging along.  the little engine that could.	o	fru
Ses03F_script01_1_F018	what?	q	fru
Ses01F_impro07_F014	yeah. yeah i'm excited. hooray.  and then i'll be a millionaire once i graduate, you understand? because that's the way it works.	o	xxx
Ses04F_script02_2_M020	it was in the car right.  driving past the knickerbocker liquor locker, you said let's get some champagne and i said times a wasting or something like that.  right?	q	neu
Ses02F_impro08_F008	i can do that right now for you. no, absolutely.  i can take care of you all the way through to the end.	ans	neu
Ses04F_script02_2_M027	what?  what do you want a divorce?	q	fru
Ses01F_script02_2_F028	i just want something to turn out like i expected it to.	ans	xxx
Ses04F_script01_3_F016	not like that you're not.	o	xxx
Ses05M_impro07_F018	i don't i don't think it's that bad.	o	neu
Ses05M_impro05_M016	let me explain to you what the problem is.  my grandfather's remains are in that bag.  and i have to, like, distribute them today.  we're suppose to, you know, throw them out to the sea today.	s	fru
Ses03F_impro02_F014	maybe we can still do that	o	fru
Ses04F_script01_1_F029	i don't see why it has to be annie.	s	ang
Ses04M_script03_1_F010	yes, meaning just that.	ans	xxx
Ses02F_script02_1_F018	last year, you will also remember our shoes got wet, i got sand in my panties, you got a sore throat, we got in a big fight over nothing, and we didn't see the grunions.	s	fru
Ses05M_impro02_F022	can i send you, like videos and stuff? what about when they start walking.	q	xxx
Ses02M_script01_3_M036	i want you now annie.	ans	neu
Ses05F_impro02_M009	nobody's even here.  your parents live on the other side of the country.	s	xxx
Ses04M_script01_3_M013	why didn't you?	q	xxx
Ses04M_impro03_M013	i just - 'cause, i mean, hawaii just has like the best fruit buffets.  and so i'm just going to say forget, you know, all like kind of meats and all that stuff.	s	xxx
Ses05M_script03_2_F042	beast	o	ang
Ses05F_script03_1_M028	the worst one was in cannes when your curling irons burnt a hole in my new dressing gown.	s	exc
Ses03M_impro01_F025	this entire time you're fighting with me sir, you could've finished the form and already been half way- no.  get out.	o	ang
Ses04F_script01_1_F019	what do you want me to do?  you're old enough to know your own mind.	o	ang
Ses02M_script01_3_F013	every day since.	ans	hap
Ses05F_impro07_F038	woo-	b	exc
Ses04M_impro01_M002	that she gave to me earlier. and she said oh, i gave you the wrong one by accident.  so i was hoping i could just fill out a new one, give it to you and sort of skip this whole line business.	s	fru
Ses01F_impro02_F008	just, you know, kicking myself.	s	sad
Ses03F_impro06_F000	okay.	ans	sad
Ses02M_impro05_M005	what? what? how does that happen?	q	xxx
Ses01F_script02_2_M022	listen, do you want to dance?	q	neu
Ses05M_script02_2_M035	i don't know.  i think this is a pretty good spot.  i mean, look at the view of the moon from here.	o	hap
Ses05M_script01_1_F022	from your father's point of view he's not dead and she's still his girl.  now, you can go on from there if you know where to go, chris, but i don't know.  so what can i do for you?	s	ang
Ses02M_impro03_F010	so what did you do?	q	xxx
Ses03M_script01_3_M027	you remember overseas i was in command of a company?	q	sad
Ses03M_script03_1_M038	the real cause of that rile was peter burden.	s	xxx
Ses03F_impro04_F006	i know, i just don't know if i can handle it. i mean, you're helping me so much financially it's like i can't survive on my own without you. i don't like that.	ag	fru
Ses03F_impro05_M014	what, do you have questions?	q	neu
Ses01F_script01_1_M007	you know larry is not coming back and i know it.  why do we allow him to go on thinking that we believe with him?	ans	neu
Ses05M_impro01_F012	yeah.  i know it's gonna take a minute.  but you- so you might as well get started now.	ans	neu
Ses04F_script01_1_F006	what was he doing out here at that hour?  he's dreaming about him again.  he's walking around at night.	o	fru
Ses01M_impro05_M013	it was right in the middle of five different people.  i had a huge fat lady next me, a crying kid on left i went like can i please get a bloody mary, please? will you bring a bloody mary?	s	xxx
Ses02M_script03_1_M020	so is everyone else in the long run.	o	exc
Ses05M_script02_2_M018	do you want me to go get some champagne?	q	xxx
Ses02F_impro08_M019	okay.	ag	neu
Ses05F_script03_2_M026	you must have a riotous time, no restraint at all, very enjoyable.  i mean, you never had much anyway.	o	ang
Ses03F_script02_2_F044	i noticed that. it's beautiful.	o	hap
Ses05F_script02_2_M035	actually, now that you mention it.  no, i don't.	dag	hap
Ses02M_impro02_F009	well, just promise me that you going to be safe.	s	sad
Ses03F_script03_1_F013	shall we always want to bicker and fight?	q	xxx
Ses05M_script01_1_M035	i have been a good son for too long.  a good sucker.  i'm through with it.	ans	ang
Ses03F_script03_2_F012	i don't see what's the point of going on and on about something like this.	o	xxx
Ses04M_impro07_F021	wow. i i was looking at u.c.l.a.	s	xxx
Ses02F_script01_1_M028	so what, i'm not fast with women.	ag	xxx
Ses01F_script01_1_F014	why?	q	fru
Ses02F_script03_1_F009	it's true.  the whole business is a very poor joke.	o	hap
Ses05M_impro06_F005	yeah.  i'm so sorry.	ap	sad
Ses01F_impro02_F005	i know.	ag	sad
Ses03F_script03_2_M029	i'm not in the least bit drunk.	dag	ang
Ses04M_script02_1_M007	no, of course, our flashlight; yours and mine.  me flashlight es su flashlight, naturally.  how could we not think to bring it?  i hope the moon stays out.	ans	xxx
Ses04F_script01_3_F029	you should be proud.  a man should be paid for that.	o	xxx
Ses05M_script01_1_F028	well, that's a good reason.  but that doesn't mean anything at all.  i mean, you haven't seen her in five years.	s	fru
Ses01F_impro03_M002	shut up.  no in vegas?	q	sur
Ses04M_script01_1_M040	yes, on this i would.	ans	neu
Ses03F_script03_2_M037	no.	dag	xxx
Ses03M_script03_2_M044	just shut up.	c	ang
Ses05M_script03_1_F005	oh, it sent shivers up my spine.	s	exc
Ses03M_script03_1_F009	it's true.  i mean, the whole business it's a very poor joke.	o	xxx
Ses03F_script02_1_F018	no, for god's sakes, we've never seen the grunions. we're not going to see them.	s	fru
Ses05F_impro01_M006	i don't want to be rude here, ma'am, but line two b is where you need to be.  this is the line for registration.	s	fru
Ses05M_script03_2_F012	it's becoming a habit with you.	o	neu
Ses03M_impro08a_M019	what i can do for you, if you want to make a call right now i could contact you through our computer.  i can call through my phone and you can speak through me.	s	neu
Ses05F_script03_2_M005	you let him kiss you.  you said you did.	s	ang
Ses03F_impro01_F000	god, finally i got to the line, the front of the line. i've been waiting there for like half an hour.	s	xxx
Ses04M_impro05_F025	i can write you the one check.	s	fru
Ses04M_impro02_F018	then, can't you please try something?  if you go and ask them and they say no, then i would understand, but you're not even willing to ask.	o	fru
Ses04M_impro06_F017	i know.	ag	sad
Ses02F_impro01_F017	i really need this done today.  as you can see, the deadline is almost up and i can't come back.	o	fru
Ses04F_impro08_M024	attached to it and you don't send it to me, i'm going to get very upset.	o	ang
Ses01F_impro07_M004	oh.  good, good.  that's awesome. are you going to stay around here?  or are you going to like get a different neighborhood you going to move to a different neighborhood?	q	exc
Ses05F_impro03_F049	l.a. apartment is fine.	ans	hap
Ses01F_impro05_M016	no.  i'm just giving you money, the bag is gone.  if it's not here, i'm really sorry there is nothing i can do because...	ans	neu
Ses05F_impro07_M015	you're going to have so much fun.  and there's lo tons of people, you're going to meet so many people, i'm going to meet so many people too, because we're going to be there together.	o	exc
Ses01M_impro05_M005	listen, shut your smug mouth, okay?  i don't need that.	c	ang
Ses02F_impro06_F013	you start to lose like that image after a while.	o	sad
Ses05F_script02_2_M041	or not.	ag	hap
Ses02F_impro08_M017	okay.  wow.  sounds good then, i guess.  thank you very much. it's a lot better than talking to a machine.	o	xxx
Ses04M_script01_3_M005	how did you know?	q	xxx
Ses04M_script02_1_M022	yeah, they do. okay.  but it's fish who do something none of the other fish do; like the swallows are returning to capistrano; or the lemmings throwing themselves off the cliffs, like that.	dag	exc
Ses05F_impro05_M035	well, you know what, it could still turn up, but until then i can offer you this fifty dollar voucher.	s	fru
Ses05M_script01_3_M039	and i guess that included you.	o	sad
Ses02M_impro05_M011	can they check there?	q	fru
Ses05F_script01_2_M005	now, listen, kate, just-	c	fru
Ses05M_script02_1_M015	why not?	q	xxx
Ses03F_impro08_M013	no, i don't have a land line.	ans	xxx
Ses01F_impro04_M015	no.  you can or you can just bring it in person.  but they need, generally, something to see, you know, what kind of what that you've done, what kind of--	s	neu
Ses03F_script02_1_M034	we just weren't in a good spot, all right? this is a much better spot. i have a good instinct for these things. look, is that-	o	fru
Ses01F_impro02_F015	last month-  yeah.	ans	sad
Ses01M_script01_2_M012	all right, calm yourself.	c	fru
Ses02F_script02_1_M033	we weren't in a good spot.	o	neu
Ses03M_script03_1_F006	behave exquisitely.	ans	exc
Ses04F_script01_2_F021	i can't help it.	o	fru
Ses04F_impro07_F007	[laughter] yeah, uh. no.	dag	exc
Ses03M_script01_1_F022	well i'm just saying--	s	fru
Ses05M_impro01_F007	i don't know.  i don't know who told you.  it wasn't me.	ans	fru
Ses03M_script02_2_F042	yeah.  i noticed that.  it's real pretty on the water.	o	hap
Ses05M_script01_2_F013	believe with me, joe.  i can't stand alone.	s	xxx
Ses02F_impro06_F014	thanks.	g	sad
Ses02F_script01_1_M019	so it's all right then?	q	fru
Ses02F_impro05_M002	uh, well some-some of the bags were--were lost on the way over here. uh-	ans	neu
Ses04F_script03_1_M029	horrible thing.  i hated it.	o	neu
Ses05M_impro08_M023	absolutely. and i just don't want that to happen to you anymore.	ag	neu
Ses05F_impro02_F003	yeah, um everything's fine so far. um	ans	xxx
Ses04M_impro04_F012	well that sounds like your fault.	o	neu
Ses02F_impro03_F022	two and a half years. [laughter]	ans	xxx
Ses02F_script02_1_M032	and last year, i remember specifically you were so excited to go that you stubbed your toe rushing me out of the house and didn't even notice until we got in the car.	s	xxx
Ses03M_impro02_M030	you tell her- [breathing]	s	sad
Ses01F_script01_1_M039	on this, i would.	ans	neu
Ses01F_impro02_M008	i know.	ag	fru
Ses03F_script01_2_M012	okay. just calm yourself.	c	fru
Ses03M_impro04_M006	you know what?  i've been working at temp jobs for the past six months.  you know how degrading it is?	q	fru
Ses01F_impro04_F013	i just i mean i call people up and i tell them what i'm good at.	s	neu
Ses05M_impro03_F004	okay good. i i assumed.	o	exc
Ses04M_impro06_F014	i agree.  if i knew how to make that happen, i would certainly help you.	ag	sad
Ses05M_script01_3_F018	you have to tell me.	c	xxx
Ses04M_script03_1_M026	how long did that row last?	q	xxx
Ses02M_script01_2_F006	-she's not his girl joe; she knows she's not.	s	ang
